timestamp,num_switches,num_flows,feature_extract_ms,inference_ms,rule_install_ms,total_overhead_ms
1777838904.1182964,23,25,0.093,0.003,0.441,119.591
1777838905.1280599,23,25,0.092,0.002,0.701,114.042
1777838906.1566145,23,25,0.088,0.002,0.536,130.169
1777838907.1941874,23,25,0.226,0.007,0.773,154.727
1777838908.1741047,23,25,0.108,0.003,0.755,119.451
1777838909.1808188,23,25,0.097,0.003,0.456,114.921
1777838910.1954567,23,5,0.063,0.002,0.136,111.192
1777838911.2065659,23,5,0.035,0.002,0.133,111.724
1777838912.218696,23,5,0.03,0.002,0.128,112.122
1777838913.2640777,23,5,0.037,0.002,0.236,112.582
1777838914.2792606,23,5,0.031,0.002,0.131,112.57
1777838915.294202,23,25,0.058,0.002,0.422,112.999
1777838916.3035975,23,25,0.071,0.002,0.557,111.581
1777838917.3184,23,25,0.083,0.002,0.579,114.965
1777838918.3268232,23,25,0.069,0.002,0.412,111.636
1777838919.342821,23,25,0.072,0.002,0.448,111.945
1777838920.356113,23,25,0.122,0.003,0.654,113.585
1777838921.361589,23,25,0.075,0.002,0.429,111.198
1777838922.3757648,23,25,0.092,0.002,0.441,113.024
1777838923.3914533,23,25,0.085,0.002,0.418,111.437
1777838924.4096553,23,25,0.066,0.009,0.487,118.077
1777838925.4168377,23,5,0.048,0.001,0.133,112.377
1777838926.427622,23,5,0.032,0.001,0.131,112.45
1777838927.4415705,23,5,0.028,0.002,0.118,111.431
1777838928.454216,23,5,0.031,0.002,0.222,112.666
1777838929.4637687,23,5,0.028,0.002,0.127,111.413
1777838930.47654,23,25,0.125,0.002,0.417,112.21
1777838931.4843855,23,25,0.118,0.002,0.421,109.654
1777838932.4952302,23,25,0.088,0.003,0.767,111.404
1777838933.5095353,23,25,0.103,0.003,1.018,113.966
1777838934.5279117,23,25,0.072,0.002,0.42,114.71
1777838935.542855,23,25,0.072,0.002,0.405,111.914
1777838936.553058,23,25,0.071,0.003,0.545,110.492
1777838937.5740132,23,25,0.07,0.002,0.417,113.201
1777838938.5900314,23,25,0.065,0.002,0.412,111.659
1777838939.6162624,23,25,0.05,0.002,0.389,125.435
1777838940.6135173,23,25,0.066,0.002,0.391,111.883
1777838941.6276295,23,25,0.066,0.002,0.579,110.717
1777838942.6533744,23,25,0.108,0.003,0.863,123.673
1777838943.652932,23,25,0.066,0.002,0.407,111.998
1777838944.6684809,23,25,0.068,0.002,0.403,117.982
1777838945.6691344,23,25,0.154,0.002,0.414,109.533
